source,approach,compound,predictor,exposure,quantile,population,concentration,PAD,%PAD
Stanfield et al. 2022,High-throughput model,Cypermethrin,Biomonitoring,Chronic,Upper,6- 11 yrs,0.0000239,0.0716,0.0334
This study,Physiologically based kinetic model,Deltamethrin,Biomonitoring,Acute,Median,6- 11 yrs,0.0000551,0.0149,0.3698
This study,Physiologically based kinetic model,Deltamethrin,Biomonitoring,Acute,Upper,6- 11 yrs,0.0000634,0.0149,0.4255
This study,Physiologically based kinetic model,Cyfluthrin,Biomonitoring,Acute,Median,6- 11 yrs,0.0000433,0.0117,0.3701
This study,Physiologically based kinetic model,Cyfluthrin,Biomonitoring,Acute,Upper,6- 11 yrs,0.0000511,0.0117,0.4368
This study,Physiologically based kinetic model,Permethrin,Biomonitoring,Acute,Median,6- 11 yrs,0.00178,0.44,0.4045
This study,Physiologically based kinetic model,Permethrin,Biomonitoring,Acute,Upper,6- 11 yrs,0.00227,0.44,0.5159
This study,Physiologically based kinetic model,Cypermethrin,Biomonitoring,Acute,Median,6- 11 yrs,0.000178,0.0716,0.2486
This study,Physiologically based kinetic model,Cypermethrin,Biomonitoring,Acute,Upper,6- 11 yrs,0.000227,0.0716,0.317
This study,Physiologically based kinetic model,Cyfluthrin,Biomonitoring,Acute,Median,< 6 yrs,0.000101,0.0117,0.8632
This study,Physiologically based kinetic model,Cyfluthrin,Biomonitoring,Acute,Upper,< 6 yrs,0.000125,0.0117,1.0684
This study,Physiologically based kinetic model,Permethrin,Biomonitoring,Acute,Median,< 6 yrs,0.00519,0.44,1.1795
This study,Physiologically based kinetic model,Permethrin,Biomonitoring,Acute,Upper,< 6 yrs,0.0068,0.44,1.5455
This study,Physiologically based kinetic model,Cypermethrin,Biomonitoring,Acute,Median,< 6 yrs,0.000519,0.0716,0.7249
This study,Physiologically based kinetic model,Cypermethrin,Biomonitoring,Acute,Upper,< 6 yrs,0.00068,0.0716,0.9497
Comptox dashboard,Systematic Empirical Evaluation of Models,Deltamethrin,Multi-pathway,Chronic,Median,6- 11 yrs,0.00000299,0.0149,0.0201
Comptox dashboard,Systematic Empirical Evaluation of Models,Deltamethrin,Multi-pathway,Chronic,Upper,6- 11 yrs,0.000567,0.0149,3.8054
Comptox dashboard,Systematic Empirical Evaluation of Models,Deltamethrin,Multi-pathway,Chronic,Median,Total,0.000000239,0.0149,0.0016
Comptox dashboard,Systematic Empirical Evaluation of Models,Deltamethrin,Multi-pathway,Chronic,Upper,Total,0.0000133,0.0149,0.0893
Comptox dashboard,Systematic Empirical Evaluation of Models,Cyfluthrin,Multi-pathway,Chronic,Median,6- 11 yrs,0.00000273,0.0117,0.0233
Comptox dashboard,Systematic Empirical Evaluation of Models,Cyfluthrin,Multi-pathway,Chronic,Upper,6- 11 yrs,0.000301,0.0117,2.5726
Comptox dashboard,Systematic Empirical Evaluation of Models,Cyfluthrin,Multi-pathway,Chronic,Median,Total,0.000000233,0.0117,0.002
Comptox dashboard,Systematic Empirical Evaluation of Models,Cyfluthrin,Multi-pathway,Chronic,Upper,Total,0.00000978,0.0117,0.0836
Comptox dashboard,Systematic Empirical Evaluation of Models,Permethrin,Multi-pathway,Chronic,Median,6- 11 yrs,0.00000265,0.44,0.0006
Comptox dashboard,Systematic Empirical Evaluation of Models,Permethrin,Multi-pathway,Chronic,Upper,6- 11 yrs,0.000278,0.44,0.0632
Comptox dashboard,Systematic Empirical Evaluation of Models,Permethrin,Multi-pathway,Chronic,Median,Total,0.000000496,0.44,0.0001
Comptox dashboard,Systematic Empirical Evaluation of Models,Permethrin,Multi-pathway,Chronic,Upper,Total,0.0000116,0.44,0.0026
Comptox dashboard,Systematic Empirical Evaluation of Models,Cypermethrin,Multi-pathway,Chronic,Median,6- 11 yrs,0.00000256,0.0716,0.0036
Comptox dashboard,Systematic Empirical Evaluation of Models,Cypermethrin,Multi-pathway,Chronic,Upper,6- 11 yrs,0.000491,0.0716,0.6858
Comptox dashboard,Systematic Empirical Evaluation of Models,Cypermethrin,Multi-pathway,Chronic,Median,Total,0.000000269,0.0716,0.0004
Comptox dashboard,Systematic Empirical Evaluation of Models,Cypermethrin,Multi-pathway,Chronic,Upper,Total,0.0000143,0.0716,0.02
This study,Physiologically based kinetic model,Deltamethrin,Biomonitoring,Acute,Median,Total,0.0000215,0.0149,0.1443
This study,Physiologically based kinetic model,Deltamethrin,Biomonitoring,Acute,Upper,Total,0.0000234,0.0149,0.157
This study,Physiologically based kinetic model,Cyfluthrin,Biomonitoring,Acute,Median,Total,0.0000247,0.0117,0.2111
This study,Physiologically based kinetic model,Cyfluthrin,Biomonitoring,Acute,Upper,Total,0.0000277,0.0117,0.2368
This study,Physiologically based kinetic model,Cypermethrin,Biomonitoring,Acute,Median,Total,0.000214,0.0716,0.2989
This study,Physiologically based kinetic model,Cypermethrin,Biomonitoring,Acute,Upper,Total,0.000257,0.0716,0.3589
This study,Physiologically based kinetic model,Permethrin,Biomonitoring,Acute,Median,Total,0.00214,0.44,0.4864
This study,Physiologically based kinetic model,Permethrin,Biomonitoring,Acute,Upper,Total,0.00257,0.44,0.5841
